koi_period,koi_duration,koi_prad,koi_teq,koi_srad,koi_slogg
9.48803557,2.9575,2.26,793,0.927,4.467
54.4183827,4.507,2.83,443,0.927,4.467
19.89913995,1.7822,14.6,638,0.868,4.544
1.736952453,2.40641,33.46,1395,0.791,4.564
2.525591777,1.6545,2.75,1406,1.046,4.438
11.09432054,4.5945,3.9,835,0.972,4.486
4.13443512,3.1402,2.77,1160,0.972,4.486
2.56658897,2.429,1.59,1360,0.972,4.486
7.36178958,5.022,39.21,1342,1.958,3.986
16.06864674,3.5347,5.76,600,0.848,4.485
2.470613377,1.74319,13.04,1339,0.964,4.457
2.204735417,3.88864,16.1,2048,1.952,4.019
3.522498429,3.19843,14.59,1521,1.451,4.169
3.709214104,2.6302,1.16,1206,1.022,4.407
11.52144606,3.6399,150.51,753,0.848,4.554
19.40393776,12.2155,7.18,523,0.68,4.591
19.22138894,4.79843,49.29,698,0.947,4.496
16.46983774,9.4378,7.94,595,0.786,4.517
9.27358173,3.2875,2.47,649,0.696,4.583
6.02930329,1.5821,2.85,678,0.672,4.648
2.696370652,3.6129,1.58,1066,0.819,4.504
5.349553819,3.0278,2.55,919,0.91,4.44
3.94105221,2.5984,1.7,1018,0.91,4.44
8.10904807,3.596,1.3,800,0.91,4.44
386.6030528,6.8057,41.5,297,1.58,4.081
21.67699193,3.4555,2.95,530,0.828,4.5
4.99677968,2.1717,2.78,917,0.847,4.552
4.280963604,2.875,2.3,1012,0.831,4.564
1.50635409,1.5155,4.53,1452,0.831,4.563
670.645531,53.412,14.14,196,0.983,4.466
61.2563628,7.633,39.87,505,1.091,4.402
38.3775486,5.588,2.82,529,1.036,4.369
41.19725502,4.6297,3.86,439,0.848,4.485
6.252962249,2.5819,2.65,823,0.848,4.485
16.01308419,3.2554,3.1,593,0.826,4.499
32.62876672,4.7971,3.36,506,0.798,4.56
91.7732862,6.473,2.12,359,0.798,4.56
4.959319244,2.22739,12.21,1103,1.082,4.359
2.701287801,3.3827,6.54,1222,0.91,4.468
4.49876511,3.7362,2.1,1133,0.969,4.486
19.65120951,5.2514,12.42,730,1.063,4.391
5.412203927,2.9472,2.94,1093,1.087,4.339
41.43958662,10.5989,5.5,516,1.046,4.367
8.35389523,2.2514,2.52,790,0.787,4.582
4.125543472,3.1744,4.43,1243,1.103,4.417
2.816504904,2.50587,12.21,1219,0.955,4.452
33.93373447,14.561,7.34,430,0.705,4.628
3.689920099,2.6557,1.89,1147,0.917,4.518
4.431238488,3.15,3.25,1104,1.015,4.428
11.37936986,2.6255,3.95,806,1.015,4.428
26.39432897,3.573,3.07,489,0.763,4.595
13.57078281,3.3539,2.64,785,1.012,4.406
7.12594387,3.0014,1.79,997,1.087,4.339
7.442652004,2.3078,15.03,967,0.956,4.469
16.38489988,3.0249,2,433,0.615,4.661
7.8774163,2.0805,2.16,553,0.615,4.661
36.4454001,4.007,1.99,332,0.615,4.661
3.728732147,2.683,6.02,1023,0.809,4.577
40.4195037,3.362,7.51,467,0.781,4.507
2.243380573,1.1196,1.99,822,0.564,4.698
10.40599802,6.5036,11.23,833,0.924,4.393
2.337437946,1.9982,2.34,1070,0.765,4.595
7.2406612,0.558,19.45,734,0.765,4.595
3.43591631,3.133,0.55,1272,1.087,4.339
11.59822233,2.5237,2.65,396,0.473,4.79
6.575315881,4.3084,5.31,1015,0.989,4.415
7.275040844,7.5377,4.86,833,0.867,4.556
19.27153892,2.7594,1.93,393,0.56,4.702
10.06524317,1.369,1.91,488,0.56,4.702
12.3935651,3.8896,2.66,677,0.75,4.603
43.84439721,6.802,2.87,531,1.012,4.406
3.341913228,3.813,21.55,1032,0.811,4.551
1.626630225,2.1145,32.43,1547,0.973,4.41
2.711504086,3.0099,3.12,1420,1.076,4.442
7.21203748,4.0491,3.32,1025,1.076,4.442
14.1798187,2.505,1.88,711,0.878,4.539
8.47237911,2.7245,2.59,751,0.788,4.587
60.4189369,5.039,2.36,390,0.788,4.587
12.61190435,5.1497,7.4,753,0.919,4.508
1.433769925,1.8868,46.58,1920,1.339,4.22
10.31872301,3.836,28.59,876,1.06,4.409
2.539183147,2.4282,2.06,1332,1.062,4.35
6.770300385,2.0844,2.77,812,0.679,4.656
0.444291966,2.0792,27.51,1836,0.636,4.678
10.181584,3.5089,7.73,812,0.836,4.541
20.06036336,3.3203,1.96,361,0.493,4.754
46.1842039,4.758,1.83,273,0.493,4.754
23.9800854,5.351,1.31,649,1.012,4.406
7.82502168,2.186,1.2,494,0.493,4.754
3.895936525,2.3111,7.34,1005,0.774,4.592
22.36646466,5.228,2.32,536,0.734,4.615
1.625522174,2.38963,9.73,1579,1.106,4.322
19.62034692,2.0038,13.6,643,0.905,4.492
7.544039,6.222,17.47,838,0.824,4.567
9.02930689,3.1449,2.57,757,0.82,4.526
10.32803571,7.7915,13.28,843,1.024,4.359
143.2063047,8.9302,8.9,308,0.867,4.556
6.164876,3.262,0.79,1021,1.012,4.406
60.32494216,6.6188,12.19,411,0.867,4.556
29.1598615,4.803,1.91,524,0.867,4.556
1.540397253,2.1541,25.69,1470,0.915,4.53
2.99025443,5.414,1.7,918,0.731,4.578
1.594745374,1.9604,11.3,1539,0.893,4.491
4.783002698,2.335,2.5,886,0.807,4.574
20.50588921,4.0595,3.41,518,0.761,4.544
3.340218842,1.9104,2.03,656,0.493,4.754
2.507089906,2.0067,30.26,1326,0.939,4.506
18.64932728,4.4056,3.12,701,1.053,4.405
4.90144976,4.1654,1.7,1262,1.402,4.191
9.75192101,4.793,2.76,870,1.053,4.405
38.5576546,5.794,4.02,550,1.053,4.405
3.525632539,2.59959,11.58,975,0.793,4.572
34.84398644,2.9315,7.61,511,0.871,4.482
7.748094239,3.5957,5.52,964,1.085,4.439
23.96793669,3.827,1.8,329,0.524,4.728
8.29561738,1.3421,1.82,469,0.524,4.728
8.11437482,2.2736,2.1,460,0.517,4.753
38.03672948,4.34617,27.5,500,0.932,4.521
4.64090031,35.512,30.09,1155,0.826,4.5
3.747838198,5.0642,13.65,1031,0.826,4.569
14.74914825,6.0995,2.89,874,1.402,4.191
21.81295996,4.3791,3.38,639,0.999,4.41
7.91936937,3.3148,10.34,814,0.776,4.588
1.028436523,1.8606,72.77,1947,0.99,4.428
15.37562369,3.3169,11.01,600,0.833,4.496
8.10363271,3.161,2.11,687,0.732,4.574
4.71510843,2.506,1.46,823,0.732,4.574
6.365839713,2.9721,2.44,914,0.849,4.554
5.97581754,3.065,3.86,1047,0.997,4.471
2.446737317,4.7211,26.25,1261,0.863,4.548
3.04033046,1.8411,8.99,1021,0.791,4.519
15.33528675,3.897,5,610,0.817,4.581
7.95825328,4.377,1.06,1074,1.402,4.191
31.33046135,5.176,6.5,481,0.817,4.581
3.9043425,3.831,12.28,1104,0.898,4.526
9.286358079,3.49949,17.61,796,0.821,4.523
3.951405455,2.1862,31.44,1133,0.869,4.539
23.65369415,8.2183,7.89,731,1.384,4.191
13.23352214,6.7372,3.06,888,1.384,4.191
6.15560285,4.9843,2.32,1146,1.384,4.191
2.090811305,3.388,1.62,1642,1.384,4.191
3.180027898,3.5797,1.53,1458,1.402,4.191
50.4467417,7.159,2.67,568,1.384,4.191
11.76307164,2.9076,2.35,616,0.756,4.603
56.2279271,3.57,2.37,366,0.756,4.603
2.384052875,3.0918,17.06,1010,0.701,4.58
7.953547,2.6312,2.25,696,0.779,4.536
4.14451656,2.3421,1.48,864,0.779,4.536
4.859386384,2.2757,38.33,1114,0.988,4.47
10.52629458,2.5211,8.24,713,0.793,4.553
4.583520948,2.7055,5.39,1038,0.877,4.54
3.76181843,3.5176,2.66,1121,0.949,4.472
8.20396958,2.9667,3.01,742,0.826,4.499
14.49645186,4.016,3.01,613,0.826,4.499
6.54626149,2.75,2.19,810,0.817,4.581
12.71809866,3.0957,2.31,562,0.686,4.592
36.06588163,4.3246,2.64,397,0.686,4.592
4.190425659,2.8589,6.21,1234,1.135,4.392
3.709870784,3.0694,4.35,1151,0.978,4.463
16.3297527,6.271,3.75,727,0.987,4.444
27.80756622,4.21587,13.84,554,0.785,4.584
80.8723469,11.195,7.59,452,1.238,4.222
3.166465862,2.9381,26.82,954,0.704,4.575
24.99324319,5.9409,2.29,712,1.317,4.181
10.35533116,3.1775,2.47,777,0.918,4.462
16.08518937,3.984,3.68,613,0.826,4.523
235.9986399,8.2284,10.59,188,0.657,4.627
7.49018305,2.7297,2.56,753,0.787,4.562
36.2761238,4.7865,3.03,445,0.787,4.562
17.46087931,2.2641,2.32,568,0.787,4.562
56.0560754,4.685,1.94,233,0.491,4.757
41.40831669,5.0264,11.38,453,0.747,4.586
39.74893077,7.3051,14.21,552,0.964,4.487
5.715425977,2.5242,2.47,850,0.826,4.572
49.18394185,11.3364,8.2,669,2.057,3.907
20.0261412,1.611,2.28,559,0.826,4.572
13.61014819,2.594,19.02,733,0.903,4.46
10.44331991,2.743,2.66,667,0.802,4.516
2.237489571,1.8119,1.41,1160,0.81,4.58
5.851520671,3.11058,14.62,901,0.806,4.53
3.167893418,2.1814,2.62,1221,0.94,4.503
4.311780262,2.7251,3.11,1038,0.927,4.484
20.0504494,4.556,2.69,622,0.927,4.484
9.76734503,1.6585,2.67,791,0.927,4.484
119.0207044,8.1405,8.98,366,1.062,4.342
190.3200468,15.284,7.78,426,2.057,3.907
2.861159894,1.8832,4.37,1355,1.021,4.458
26.44439337,3.9783,3.91,562,0.929,4.463
51.53997972,6.3994,5.51,450,0.929,4.463
5.902245782,2.9003,2.43,926,0.929,4.463
2.382951591,1.8876,1.86,1253,0.929,4.463
21.02250608,4.1072,3.07,521,0.75,4.585
3.219814777,2.0642,1.69,998,0.787,4.562
5.912273234,2.3254,1.73,585,0.57,4.696
8.98581901,2.8606,1.65,509,0.57,4.696
12.94066866,2.4845,22.94,723,0.809,4.572
20.5452375,2.517,2.41,742,1.264,4.206
33.60123371,4.4056,8.46,495,0.93,4.447
6.76652928,2.9004,1.97,845,0.93,4.447
4.347288783,2.1024,2.36,1174,1.122,4.345
4.601811819,2.2607,2.35,896,0.833,4.496
11.18719905,3.252,1.55,667,0.833,4.496
4.220965778,3.0854,2.62,595,0.517,4.747
6.998099523,2.0488,588.66,853,0.829,4.566
5.95489993,2.3892,2.33,635,0.633,4.641
12.03987488,2.7363,2.18,502,0.633,4.641
20.83762895,2.3734,1.42,418,0.633,4.641
8.8111022,5.0683,63.66,1399,2.404,3.8
23.58917143,5.073,3.16,487,0.721,4.566
6.481633073,3.784,2.54,1145,1.302,4.213
10.37168928,3.035,3.2,720,0.888,4.457
3.96996298,1.1757,1.78,992,0.888,4.457
4.40841331,5.012,2.66,1139,0.961,4.457
7.9426176,6.703,4.68,878,0.926,4.521
226.8904775,7.558,4.53,236,0.75,4.585
1.956811408,2.1958,21.58,1109,0.603,4.657
2.688899233,2.11275,12.04,929,0.639,4.667
9.439459486,2.8979,4.16,686,0.779,4.597
11.52306746,3.8757,3.13,927,1.411,4.162
20.47748843,2.8364,2.92,530,0.779,4.597
3.336123113,1.9616,1.74,970,0.779,4.597
8.01078456,2.312,1.72,453,0.47,4.779
12.07134205,4.3224,1.29,395,0.47,4.779
20.99587872,2.6333,1.3,328,0.47,4.779
7.41113177,2.5242,2.45,905,0.919,4.517
1.000747038,0.9967,4.14,1620,0.79,4.499
8.884922995,2.07004,10.51,770,0.843,4.5
8.09888906,4.20241,8.95,986,1.076,4.442
10.00653012,5.344,3.52,876,1.001,4.47
17.85522168,7.41287,13.16,911,1.367,4.308
12.73262407,2.2083,4.87,432,0.541,4.721
83.92494032,6.7904,4.78,226,0.509,4.746
5.007316661,4.2362,6.96,998,0.827,4.563
2.211116989,1.6485,1.85,931,0.646,4.656
27.9541337,3.95,1.9,400,0.646,4.656
12.69104387,3.7727,2.57,1008,1.626,4.024
4.409409243,3.8636,10.95,1101,0.975,4.368
16.23947096,4.0374,4.14,598,0.837,4.564
6.308201629,2.9785,2.96,819,0.837,4.564
2.052349884,2.0778,13.12,1497,1.08,4.393
9.7704486,2.4517,2.23,460,0.509,4.73
5.169804269,2.153,1.66,569,0.509,4.73
21.22261195,6.5093,2.48,771,1.302,4.213
20.09017037,4.154,2.25,362,0.509,4.73
7.11373257,2.1764,1.16,429,0.411,4.855
3.306551643,1.8177,0.91,554,0.411,4.855
15.36845737,2.4714,1.11,332,0.411,4.855
13.81020318,3.048,4.56,833,1.142,4.327
4.093578461,2.5833,2.85,1182,0.999,4.471
105.145959,8.593,3.43,401,0.999,4.471
10.8484518,2.9993,2.34,499,0.591,4.682
6.66833241,1.915,1.18,587,0.591,4.682
4.082274889,3.23015,10.55,1016,0.794,4.581
3.886655224,3.1646,1.87,1010,0.738,4.61
42.1406089,5.083,1.85,349,0.646,4.656
4.617490562,2.2618,1.62,728,0.646,4.656
10.19849255,2.4283,1.75,559,0.646,4.656
5.795063956,3.2496,4.33,950,0.827,4.563
7.15681552,2.5882,2.47,782,0.838,4.494
17.64830851,2.0873,2.43,579,0.838,4.494
4.14810719,2.535,1.08,938,0.838,4.494
16.51410989,4.1575,2.72,655,0.866,4.488
30.1329298,5.172,3.14,536,0.866,4.488
4.79090809,2.603,1.36,990,0.866,4.488
31.71981013,4.819,3.09,743,1.626,4.024
99.6415962,4.448,2.64,360,0.866,4.488
4.708326451,3.16114,10.6,1162,1.21,4.246
16.37198661,3.8449,540.37,438,0.592,4.656
5.392026903,2.9804,2.68,850,0.801,4.589
2.494170338,1.1221,2.42,1194,0.829,4.566
6.491682808,4.301,9.66,1062,1.107,4.413
3.044770796,10.0134,24.54,1076,0.753,4.603
3.855603916,3.2179,13.61,1212,1.046,4.46
3.855599139,3.183,3.57,1158,0.965,4.501
38.47876629,5.04169,13.26,484,0.879,4.539
37.60166128,8.30604,27.22,606,1.096,4.354
